"TNAME"	"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"NUMOCC"	"otufin"	"otufin2"
"TESTUDACARUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TESTUDACARUS"	NA	2	"TORRENTICOLIDAE"	"TORRENTICOLIDAE"
"TORRENTICOLA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TORRENTICOLA"	NA	11	"TORRENTICOLA"	"TORRENTICOLIDAE"
"CLADOCERA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"BRANCHIOPODA"	"PHYLLOPODA"	NA	NA	"DIPLOSTRACA"	"CLADOCERA"	NA	NA	NA	NA	NA	NA	NA	NA	4	"CRUSTACEA"	NA
"PACIFASTACUS.LENIUSCULUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"ASTACIDAE"	NA	NA	NA	"PACIFASTACUS"	"PACIFASTACUS.LENIUSCULUS"	9	"DECAPODA"	"DECAPODA"
"PACIFASTACUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"ASTACIDAE"	NA	NA	NA	"PACIFASTACUS"	NA	11	"DECAPODA"	"DECAPODA"
"GAMMARUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"GAMMARIDAE"	NA	NA	NA	"GAMMARUS"	NA	7	"GAMMARIDEA"	"GAMMARIDEA"
"HYALELLA.AZTECA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"AMPHIPODA"	"GAMMARIDEA"	NA	NA	"HYALELLIDAE"	NA	NA	NA	"HYALELLA"	"HYALELLA.AZTECA"	4	"HYALELLA"	"GAMMARIDEA"
"CAECIDOTEA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	"ASELLOTA"	NA	"ASELLOIDEA"	"ASELLIDAE"	NA	NA	NA	"CAECIDOTEA"	NA	8	"PERACARIDA"	NA
"ISOPODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"PERACARIDA"	"ISOPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	"PERACARIDA"	NA
"COPEPODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MAXILLOPODA"	"COPEPODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	"CRUSTACEA"	NA
"OSTRACODA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"OSTRACODA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	"OSTRACODA"	"OSTRACODA"
"AMPHIZOA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"AMPHIZOIDAE"	NA	NA	NA	"AMPHIZOA"	NA	2	"ADEPHAGA"	NA
"AGABUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"DYTISCIDAE"	"AGABINAE"	"AGABINI"	NA	"AGABUS"	NA	2	"DYTISCIDAE"	"DYTISCIDAE"
"OREODYTES"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"DYTISCIDAE"	"HYDROPORINAE"	"HYDROPORINI"	NA	"OREODYTES"	NA	3	"OREODYTES"	"DYTISCIDAE"
"DYTISCIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"DYTISCIDAE"	NA	NA	NA	NA	NA	30	"DYTISCIDAE"	"DYTISCIDAE"
"GYRINUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"GYRINIDAE"	NA	NA	NA	"GYRINUS"	NA	1	"ADEPHAGA"	NA
"BRYCHIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"BRYCHIUS"	NA	2	"ADEPHAGA"	NA
"HALIPLUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	"HALIPLUS"	NA	1	"ADEPHAGA"	NA
"HALIPLIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"ADEPHAGA"	NA	NA	"HALIPLIDAE"	NA	NA	NA	NA	NA	1	"ADEPHAGA"	NA
"AMPUMIXIS.DISPAR"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"AMPUMIXIS"	"AMPUMIXIS.DISPAR"	22	"ELMIDAE"	NA
"AMPUMIXIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"AMPUMIXIS"	NA	23	"ELMIDAE"	NA
"CLEPTELMIS.ADDENDA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"CLEPTELMIS"	"CLEPTELMIS.ADDENDA"	12	"CLEPTELMIS.ADDENDA"	"CLEPTELMIS"
"CLEPTELMIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"CLEPTELMIS"	NA	10	"CLEPTELMIS"	"CLEPTELMIS"
"DUBIRAPHIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"DUBIRAPHIA"	NA	1	"DUBIRAPHIA"	"DUBIRAPHIA"
"HETERLIMNIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"HETERLIMNIUS"	NA	153	"HETERLIMNIUS"	"HETERLIMNIUS"
"LARA.AVARA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"LARA"	"LARA.AVARA"	47	"ELMIDAE"	NA
"LARA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"LARA"	NA	10	"ELMIDAE"	NA
"NARPUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"NARPUS"	NA	68	"NARPUS"	"NARPUS"
"OPTIOSERVUS.QUADRIMACULATUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"OPTIOSERVUS"	"OPTIOSERVUS.QUADRIMACULATUS"	21	"OPTIOSERVUS"	"OPTIOSERVUS"
"OPTIOSERVUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"OPTIOSERVUS"	NA	105	"OPTIOSERVUS"	"OPTIOSERVUS"
"ORDOBREVIA.NUBIFERA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ORDOBREVIA"	"ORDOBREVIA.NUBIFERA"	2	"ELMIDAE"	NA
"ORDOBREVIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ORDOBREVIA"	NA	25	"ELMIDAE"	NA
"ZAITZEVIA.PARVULA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ZAITZEVIA"	"ZAITZEVIA.PARVULA"	30	"ZAITZEVIA"	"ZAITZEVIA"
"ZAITZEVIA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"ZAITZEVIA"	NA	125	"ZAITZEVIA"	"ZAITZEVIA"
"ELMIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	NA	NA	25	"ELMIDAE"	NA
"EUBRIANAX.EDWARDSII"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PSEPHENIDAE"	"EUBRIANACINAE"	NA	NA	"EUBRIANAX"	"EUBRIANAX.EDWARDSII"	2	"EUBRIANAX.EDWARDSII"	"EUBRIANAX"
"EUBRIANAX"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PSEPHENIDAE"	"EUBRIANACINAE"	NA	NA	"EUBRIANAX"	NA	23	"EUBRIANAX"	"EUBRIANAX"
"ACNEUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PSEPHENIDAE"	"EUBRIINAE"	NA	NA	"ACNEUS"	NA	5	"PSEPHENIDAE"	NA
"PSEPHENUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PSEPHENIDAE"	"PSEPHENINAE"	NA	NA	"PSEPHENUS"	NA	12	"PSEPHENIDAE"	NA
"PSEPHENIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"PSEPHENIDAE"	NA	NA	NA	NA	NA	5	"PSEPHENIDAE"	NA
"HELOPHORUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HELOPHORIDAE"	NA	NA	NA	"HELOPHORUS"	NA	1	"HYDROPHILOIDEA"	NA
"ANACAENA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"ANACAENINI"	NA	"ANACAENA"	NA	1	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"CRENITIS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"ANACAENINI"	NA	"CRENITIS"	NA	1	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"BEROSUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"BEROSINI"	NA	"BEROSUS"	NA	1	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"CYMBIODYTA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"HYDROPHILINI"	NA	"CYMBIODYTA"	NA	1	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"ENOCHRUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"HYDROPHILINI"	NA	"ENOCHRUS"	NA	1	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"HYDROBIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"HYDROPHILINI"	NA	"HYDROBIUS"	NA	3	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"AMETOR"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"SPERCHOPSINI"	NA	"AMETOR"	NA	8	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"HYDROPHILIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	NA	NA	NA	NA	NA	10	"HYDROPHILIDAE"	"HYDROPHILIDAE"
"HYDRAENA"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	"HYDRAENINAE"	"HYDRAENINI"	NA	"HYDRAENA"	NA	10	"STAPHYLINIFORMIA"	NA
"OCHTHEBIUS"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	"OCHTHEBIINAE"	"OCHTHEBIINI"	"OCHTHEBIINA"	"OCHTHEBIUS"	NA	2	"STAPHYLINIFORMIA"	NA
"HYDRAENIDAE"	"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	NA	NA	NA	NA	NA	1	"STAPHYLINIFORMIA"	NA
